opt_vel,objective_value,jump_d,jump_c,jump_b,jump_a
3.001848567,122.2511182,1.984790178,1.397369476,-3.074883005,2.395511364
3.034393963,122.3397433,3.461236042,1.39550494,-0.532583885,2.75618407
3.038134701,1491.363899,0.415247037,4.935302113,4.938895662,3.913754974
3.059205151,785.5661533,3.162820429,1.098786612,-3.103852988,1.580253457
3.061656794,119.3993795,2.152160152,1.777436991,-2.196792963,2.165662265
3.067074146,125.5190307,2.708202416,2.099501488,-0.495034047,0.415696453
3.081561593,11229.85451,1.562928694,-4.789757348,2.896049089,0.893422472
3.115915265,105.2036767,3.226813883,1.581266687,-1.345339538,0.549409619
3.118430001,107.4190426,3.001316231,1.315099629,-1.916744465,2.23497466
3.147032082,118.2033104,3.391456791,2.439812859,-1.003077565,0.801875008
3.157681617,96.15327553,3.279817816,1.537730192,-1.719383516,2.917078468
3.177831374,114.8045426,3.300916294,2.552936062,-2.299004704,4.804573168
3.190867216,1194.250255,1.326908651,4.972994919,4.960520562,-4.951061341
3.20086064,92.85252199,3.474405222,1.567374731,-1.63726612,2.885101962
3.201120277,116.410014,1.538060759,3.253306576,1.843203312,-3.444631832
3.225423954,101.9115903,3.422704568,2.502290093,-1.166104622,4.957545912
3.227107042,93.12591468,3.443881433,2.029352938,-2.07658523,2.513753562
3.228652278,88.7049246,3.233281769,1.558423687,-2.273859195,2.801687412
3.228822312,94.21820876,3.480358008,1.937179613,-0.404793575,0.827777176
3.229499202,103.1382651,3.332008902,2.750855614,-1.653070671,2.173544229
3.243610362,79.52446094,2.55424763,1.54645832,-2.431359163,2.402996683
3.24590757,92.9804433,3.115066901,1.858221293,-2.037139964,3.638183857
3.251226892,8061.485705,0.058863287,-3.994453793,4.12016095,0.070496288
3.254800703,90.8931601,2.977815199,1.77240263,-1.104570132,4.864052283
3.269692585,91.55483252,2.932656917,2.207860369,-1.775874082,4.211830514
3.27182927,87.23072225,2.649539113,1.407277111,-2.527224128,2.55443388
3.272831928,152.0324724,2.035464963,3.670149328,-1.921517334,4.80450597
3.273646631,81.25310925,3.433239863,1.558120809,-2.046177934,2.822776106
3.281474384,81.69065381,3.414126301,2.176370633,0.149873903,-0.614508567
3.315550926,76.50194656,3.449421988,1.910358906,-2.01315744,3.683551829
3.315682254,75.98909325,3.048607545,1.962464084,-1.995465409,3.016478651
3.330649939,74.21171589,3.134735421,1.947543602,0.242115899,-0.086886894
3.331397914,67.58794206,3.394785959,1.697894147,-2.082509181,2.665503011
3.334272333,72.63953042,3.109472245,1.854935767,-1.712449605,3.602844097
3.344867784,72.83465097,2.342469216,1.963801641,-2.377676199,2.222894141
3.347849798,70.67462792,1.899314716,1.910944355,-1.971828053,1.677757195
3.351068104,66.56469241,2.508249539,1.765643413,-1.590692015,1.597583834
3.353177425,80.06363802,3.002943458,2.471937946,0.089272062,0.205987627
3.357701079,82.04143673,3.211664018,2.638062354,-0.835600843,4.98012584
3.358779135,78.84981624,3.373323988,2.51903517,-1.999686558,2.520414277
3.361230292,62.53440869,2.41110892,1.997327981,-1.705738833,1.134096795
3.361533561,64.2230039,3.263059408,1.937135476,-2.243213976,3.036373274
3.365122018,80.30668951,2.825464799,3.012471313,-1.815568679,4.650483607
3.368435296,64.36386203,3.006125609,2.13076396,0.887324499,-0.630057701
3.39406937,71.78007965,2.939636878,2.747729794,0.85789462,-0.972325329
3.398094053,66.74020214,2.754980303,1.487335678,-2.172636127,2.149204524
3.401045733,66.60427188,3.02880864,2.661546363,1.006144671,-0.124467891
3.406939876,60.38519454,3.165497102,1.868271373,-1.867332146,3.198021209
3.407171744,55.53195078,3.308090148,1.981396237,-0.018789319,0.169518327
3.407873559,66.45761413,3.489064022,2.680393905,-2.405371663,2.045793228
3.410358071,49.13599312,2.667060359,1.788959472,-1.755172928,1.577242999
3.420131866,48.11829395,2.858805282,1.672906005,-0.535929928,0.22337009
3.434236209,62.48398548,3.050035878,2.496218785,-1.74211362,3.418875743
3.44159049,469.3331206,3.294365823,1.379688988,-2.864453641,3.334462709
3.4502425,47.70769256,3.1076735,1.637686004,-2.177005687,2.469106471
3.452728332,54.9364305,2.808304788,2.216386295,-1.85218883,2.179309938
3.456995514,43.15847806,2.635965749,1.744649903,-0.938833663,0.364433083
3.46306427,54.64074837,3.339030734,2.18607072,-2.352434286,2.669149189
3.469982321,45.13659309,3.108484134,1.830867558,-1.678789232,2.317633886
3.473953124,47.81783488,2.724258977,2.053962793,-1.916296828,2.735302016
3.475396706,45.87862126,3.319206078,1.503134301,-2.034951347,2.802279423
3.495594231,40.49082997,3.234774557,1.934340079,0.168300931,0.089093962
3.498941704,119.695523,3.193780344,3.666693346,-2.078603904,4.885572638
3.50165912,54.12295777,3.018046228,1.512842738,-0.592775599,0.533744945
3.50326508,40.59732904,3.41714983,1.965230871,0.070124432,-0.096897278
3.510720235,37.32214629,3.256073225,2.378151889,0.320881747,-0.21410059
3.512266774,37.32688263,3.278821251,2.312375196,0.49565187,-0.531735826
3.518152389,38.43392605,2.702726239,2.041535281,-2.114242952,2.26780007
3.520842697,35.33587178,2.221842547,1.872388726,-1.583871116,1.175168366
3.523000174,28.85420379,3.421543401,1.695571224,-2.268330843,2.970958402
3.524056137,30.73137903,3.01445181,1.904938953,-2.382438634,2.236340223
3.53301954,35.08203473,2.727128955,2.003075403,-1.793945947,2.171250582
3.533336923,33.43632503,2.307527323,2.203871905,-2.17963455,2.21109744
3.536316827,34.59491019,3.364675957,2.295912546,0.656717476,-0.125538439
3.538878861,54.30606112,3.218471719,3.290488769,-2.223479724,4.182819749
3.541087321,29.35463885,2.903093522,1.69069539,-0.519587409,0.308539223
3.544594667,450.8942527,2.908445882,1.417738184,-2.307658625,2.932054467
3.546151753,24.73526474,2.866082453,1.941588219,-0.70058177,0.463344818
3.550062014,47.94490066,3.134489054,3.318660848,-2.262272401,4.483048594
3.55191345,27.05102233,2.939698892,1.896885411,-2.096137959,2.295596769
3.554527886,49.8396653,3.414553466,3.159946475,-2.051672892,2.307123569
3.568464599,33.46571048,2.884031739,1.746654895,-2.114875691,2.24755364
3.569340212,30.06469089,2.438378748,2.103184498,-2.325805536,2.312189497
3.585688206,25.24170872,3.135302876,1.908750066,-2.27641575,2.672574994
3.603828109,34.2027197,3.12603885,3.056857008,-2.32839053,4.425106424
3.60912591,34.58741832,3.365447566,3.197876815,-1.971819335,4.343262514
3.611103831,33.05201007,2.679794893,1.94084239,-2.153618351,2.535936603
3.611534499,25.93163385,3.227516517,2.840616207,-2.02312218,2.817846116
3.619338243,26.51755963,3.216593491,2.598276257,0.553216989,-0.272946989
3.624266635,26.03518093,3.016422785,2.610873922,0.580056265,-0.155819424
3.628800892,34.14560548,3.014139919,1.964347012,-0.781005766,0.405287627
3.63137831,49.38854337,2.232303298,1.748673407,-2.186525025,1.589636598
3.635704367,44.88243115,2.571870107,1.833199058,-1.92892137,1.888430132
3.637604038,30.2365107,2.854006588,2.973255048,-2.126152602,4.531848259
3.647651156,27.045634,3.221017525,2.452565488,-2.362303385,2.557803513
3.652063849,26.79005986,2.934469471,2.645827315,-2.003736556,2.865474903
3.657591386,31.01571842,3.099099892,3.423296485,-2.143557433,4.589055632
3.658655529,41.58638246,3.215096016,2.287950511,0.4807936,-0.117364534
3.660363586,42.56571949,2.672811434,2.047474164,-2.483010969,2.43611543
3.669164911,28.68222057,3.244196159,2.441694807,-2.14375545,2.772036971
3.669296109,48.10077777,2.209283992,2.016164223,-2.056635661,2.165139073
3.669889288,39.51243312,3.192568695,2.549125718,-2.237937292,2.204101311
3.671217608,38.18438226,3.11021846,2.409436665,-1.944701938,3.222785418
3.673305735,37.30160495,3.426896845,2.606829313,0.825421266,-0.331304862
3.675968561,51.17159968,3.349155697,2.019388934,-0.149661409,0.426510353
3.683043941,48.78417821,2.976694365,1.973526817,-0.428350812,0.378549883
3.683367372,35.5899905,3.181517298,2.99724915,-2.087539288,4.431564059
3.700976575,50.39365077,3.244767328,1.813950089,-2.136232797,3.129351377
3.701214903,47.5778831,3.376482012,2.387933637,-2.207843422,3.031267898
3.704465153,66.82972684,3.15684961,1.730582207,-0.710060197,0.73702419
3.706635804,28.11605034,3.1897061,3.41088025,-1.871933235,4.356428948
3.719858848,81.81828663,3.125861585,1.702134361,-2.319625913,2.336304112
3.730089578,74.62599982,2.543543553,1.71362627,-1.102122569,0.977321207
3.730218415,69.4727315,3.43578258,1.895149843,0.174271789,-0.032431391
3.735287999,416.3558336,3.471773512,1.561638193,-2.046531725,2.895006311
3.739649917,61.40800719,2.968801488,2.057248761,-2.075586995,2.544056417
3.740850779,58.35919412,3.186846491,2.249199578,-0.041014051,0.177020191
3.744119435,47.91402284,2.593806286,3.212896971,-2.108487055,4.732052721
3.749529034,59.26804115,3.225581673,2.30622096,-2.188385929,2.995737309
3.755046132,47.35900016,3.073048269,2.601977941,-2.28752446,2.866105545
3.767076946,58.59761778,2.839573096,2.495854909,-2.166626893,2.30399398
3.77514417,62.45904386,3.175233173,2.148998189,-2.23582235,3.434574055
3.80656381,82.23187119,1.943454844,1.955289893,-2.359622918,1.785548856
3.821244332,52.03405538,3.270111803,3.296607038,-2.104851016,4.356583817
3.863698076,64.32976224,3.146227349,3.124658154,-2.372848107,4.509207916
3.87635342,70.94747848,3.246301082,2.919063439,-2.46994948,2.484808712
3.900209857,85.14740467,2.654321759,3.442178258,-2.233070724,4.430053399
3.930408836,95.33879912,3.171477802,2.67649378,-1.922920577,3.363758418
3.951837027,143.4779579,2.961774237,1.80165999,-0.023397533,0.505073711
4.063299856,453.5959759,1.425530309,1.692447094,-3.76405172,1.475050371
4.263016583,4695.071752,0.565985419,-2.684313387,-0.511225598,-1.29294375
4.34456038,12563.89422,3.483498914,-4.89239888,-4.927428341,-4.797761753
4.38711262,206.1841203,3.351019442,2.749427191,-1.622190786,4.823723985
