Model:			dh	dh%	h_bar	dh_bar	dh_bar%	energy_bar
0.2	0.17178	11.25338871	-0.02822	-14.11				
0.25	0.23989	16.23321341	-0.01011	-4.044				
0.3	0.30556	20.9674	0.00556	1.853333333				
0.35	0.36173	25.02888547	0.01173	3.351428571				
0.4	0.41039	28.66330534	0.01039	2.5975				
0.45	0.45431	31.95941041	0.00431	0.957777778				
0.5	0.49453	34.93425425	-0.00547	-1.094				
Sigmoid:			#VALUE!	#VALUE!				
0.2	0.19996	10.54958965	-4E-05	-0.02	0.199936667	-6.33333E-05	-0.031666667	10.55168937
0.2	0.19995	10.54914209	-5E-05	-0.025				
0.2	0.1999	10.54626427	-0.0001	-0.05				
0.2	0.20019	10.56176148	0.00019	0.095				
0.3	0.29954	15.87829336	-0.00046	-0.153333333	0.29951	-0.00049	-0.163333333	15.87650012
0.3	0.29954	15.87793583	-0.00046	-0.153333333				
0.3	0.29945	15.87327116	-0.00055	-0.183333333				
0.4	0.39937	21.27114262	-0.00063	-0.1575	0.39932	-0.00068	-0.17	21.2682622
0.4	0.3993	21.26709172	-0.0007	-0.175				
0.4	0.39929	21.26655226	-0.00071	-0.1775				
Poly:			#VALUE!	#VALUE!				
0.2	0.18751	10.12157946	-0.01249	-6.245	0.1838625	-0.0161375	-8.06875	9.84891472
0.2	0.18057	9.586380267	-0.01943	-9.715				
0.2	0.1777	9.425297228	-0.0223	-11.15				
0.2	0.18967	10.26240192	-0.01033	-5.165				
0.3	0.28271	15.52715925	-0.01729	-5.763333333	0.298675	-0.001325	-0.441666667	16.51502687
0.3	0.30128	16.70122008	0.00128	0.426666667				
0.3	0.30954	17.17343332	0.00954	3.18				
0.3	0.30117	16.65829485	0.00117	0.39				
0.4	0.42987	22.98815665	0.02987	7.4675	0.414504	0.014504	3.626	22.39471538
0.4	0.41501	22.28562454	0.01501	3.7525				
0.4	0.39794	21.64193385	-0.00206	-0.515				
0.4	0.40925	22.29135147	0.00925	2.3125				
0.4	0.42045	22.76651041	0.02045	5.1125				
