opt_vel,objective_value,jump_d,jump_c,jump_b,jump_a,height
2.451097106,9.95308138,2.574555924,3.352631291,-3.676774578,0.311709896,0.2
2.434100757,10.90689763,3.406124917,3.048276679,-4.685607386,0.314033722,0.2
2.458242178,10.96986283,3.453353964,3.095761034,-4.715878522,0.330332371,0.2
2.434279654,11.72538273,2.486106349,3.031374654,-3.790678231,0.203048619,0.2
2.445952733,12.52273527,3.340561414,3.176442584,-4.568821612,0.074582386,0.2
2.39625797,12.76350557,3.181944236,2.702322545,-4.972384326,-0.030518818,0.2
2.434510046,13.60999048,3.285366869,2.739206525,-4.943980405,0.094318997,0.2
2.445985588,14.21844798,2.983876158,3.082979108,-4.400708941,0.269693577,0.2
2.488885942,15.39811634,3.350097435,3.125117687,-4.797480327,0.190064508,0.2
2.453621535,16.77953262,2.872780066,2.800867712,-4.194094509,0.485288121,0.2
2.427454199,17.39135219,2.875166613,2.961922886,-4.653059214,0.274200639,0.2
2.386222262,17.4009555,3.317025625,2.765576778,-4.75490176,0.264691215,0.2
2.413043024,17.47168416,2.79976962,2.805126135,-4.14892013,0.304183992,0.2
2.429353802,21.62463554,2.994738785,3.439764933,-3.400157253,0.562774194,0.2
2.501355661,22.02711143,2.411058902,3.325574131,-3.604919016,0.40148394,0.2
2.534831997,24.98263498,3.164731183,3.401791704,-3.414309343,0.555617282,0.2
2.548710481,25.10053158,3.204537573,3.400496702,-3.569953394,0.68003899,0.2
2.413055197,25.61012266,3.459574806,3.240025566,-4.780068651,-0.281387512,0.2
2.439690317,26.25566792,2.87170819,3.549747121,-3.545259553,0.516128902,0.2
2.416733456,27.98725059,2.442103413,3.278604326,-3.891884815,0.276428142,0.2
2.526331727,30.54937444,3.463094673,3.27930979,-3.3193925,0.723012996,0.2
2.544361978,30.81353276,2.956617559,3.297056573,-4.18352464,0.262850589,0.2
2.543181626,31.85688749,3.222821171,3.189381974,-4.760620652,-0.182369706,0.2
2.505992488,31.86460841,2.502631205,2.946125967,-3.645087924,0.247453115,0.2
2.363272376,32.38617685,2.91286485,2.682984169,-4.895040655,-0.040174312,0.2
2.394602994,32.67725139,2.865381369,3.186037078,-4.149426592,0.667301412,0.2
2.561593398,33.79226146,2.701265713,3.377095639,-4.060156805,0.139640171,0.2
2.413354417,34.14743489,3.248340774,3.647684562,-3.540348526,0.497963078,0.2
2.503584853,35.87152762,3.285066691,2.877177932,-4.702949259,-0.076014669,0.2
2.379179719,37.60752626,2.369541856,3.056741938,-4.074465228,0.051745318,0.2
2.359601104,37.66471729,2.442483849,3.118911199,-4.027877899,-0.062491832,0.2
2.560532827,38.37664334,3.009860647,3.245777284,-3.58378127,0.606104603,0.2
2.365381656,40.62077056,3.343223641,3.233052811,-4.644898314,0.208204164,0.2
2.36233409,43.2266097,2.743493234,3.169463469,-4.436403029,-0.396633519,0.2
2.561154022,44.94127772,2.946714332,3.481139215,-3.319913927,0.250295741,0.2
2.311884111,45.01849738,3.118899643,3.032662361,-4.547820527,0.00593802,0.2
2.360764593,45.28791646,3.198657744,3.216017764,-4.926279593,0.181816825,0.2
2.596282981,45.42647322,3.479148156,3.356623693,-4.987473461,0.135125688,0.2
2.595039234,45.65514549,3.032141347,3.277267722,-3.861164523,0.402406642,0.2
2.557710607,46.07643463,2.875495933,3.30199036,-4.753334399,-0.30375577,0.2
2.592077647,46.69333924,2.530035479,3.272799051,-3.433318529,0.604601012,0.2
2.318853864,49.05997833,3.01617879,3.330721314,-3.667091024,0.167904069,0.2
