{'opt_vel': '3.521129641', 'objective_value': '20.78753874', 'jump_d': '1.048247398', 'jump_c': '2.799663217', 'jump_b': '4.611463331', 'jump_a': '0.799294667'}
{'opt_vel': '3.460592955', 'objective_value': '20.93924579', 'jump_d': '1.042254467', 'jump_c': '1.948418235', 'jump_b': '4.460117117', 'jump_a': '-0.058652614'}
{'opt_vel': '3.498730678', 'objective_value': '22.28932224', 'jump_d': '1.778222311', 'jump_c': '2.665066727', 'jump_b': '4.911163253', 'jump_a': '2.113783038'}
{'opt_vel': '3.527054246', 'objective_value': '22.31454887', 'jump_d': '1.807344614', 'jump_c': '2.585569038', 'jump_b': '4.894307889', 'jump_a': '2.017969414'}
{'opt_vel': '3.48242983', 'objective_value': '23.86431949', 'jump_d': '1.191818747', 'jump_c': '2.553037101', 'jump_b': '4.528635173', 'jump_a': '0.66508466'}
{'opt_vel': '3.418618585', 'objective_value': '24.37030162', 'jump_d': '0.970337765', 'jump_c': '1.67442877', 'jump_b': '4.441281838', 'jump_a': '0.014215973'}
{'opt_vel': '3.469826892', 'objective_value': '24.43531766', 'jump_d': '1.098095032', 'jump_c': '2.136325842', 'jump_b': '3.952422295', 'jump_a': '0.290390746'}
{'opt_vel': '3.492384544', 'objective_value': '26.31619', 'jump_d': '1.329052505', 'jump_c': '2.372706942', 'jump_b': '4.432857897', 'jump_a': '-0.592422999'}
{'opt_vel': '3.488251672', 'objective_value': '27.87533464', 'jump_d': '0.236900201', 'jump_c': '2.407220442', 'jump_b': '4.912713549', 'jump_a': '0.35342547'}
{'opt_vel': '3.538261914', 'objective_value': '28.19726912', 'jump_d': '0.414486027', 'jump_c': '2.820184503', 'jump_b': '3.712617089', 'jump_a': '-0.322157593'}
{'opt_vel': '3.508940804', 'objective_value': '28.40585657', 'jump_d': '1.012029995', 'jump_c': '2.228222422', 'jump_b': '3.948189277', 'jump_a': '0.263246131'}
{'opt_vel': '3.482833039', 'objective_value': '28.47136094', 'jump_d': '1.087399301', 'jump_c': '2.819879842', 'jump_b': '3.796368844', 'jump_a': '0.130960599'}
