opt_vel,jump_a,objective_value,jump_b,jump_c,jump_d
3.631056553,13.6903343,25.39882069,0,0,0
3.624533958,13.68609138,25.54601007,0,0,0
3.633515479,13.6855265,25.56561261,0,0,0
3.653275877,13.68410661,25.61489251,0,0,0
3.639392649,13.682727,25.66278418,0,0,0
3.640047548,13.67524623,25.92262966,0,0,0
3.645025629,13.66783944,26.18017274,0,0,0
3.645241082,13.65220919,26.7246177,0,0,0
3.64055872,13.64362273,27.0241735,0,0,0
3.6301726,13.60417925,28.36784432,0,0,0
3.623528741,13.58977622,28.87374816,0,0,0
3.612591119,13.57207758,29.49689465,0,0,0
3.600620383,13.55296115,30.13641694,0,0,0
3.587770568,13.55202312,30.16941975,0,0,0
3.607676646,13.53479628,30.77727424,0,0,0
3.623843839,13.51794044,31.29324314,0,0,0
3.585849633,13.51541656,31.38252019,0,0,0
3.645705066,13.49925721,31.9549515,0,0,0
3.626460714,13.49049962,32.26569709,0,0,0
3.636204313,13.47515287,32.81116832,0,0,0
3.606138789,13.34575793,37.29875407,0,0,0
3.686828955,13.58239639,50.75389956,0,0,0
3.556294678,13.57429037,57.2182503,0,0,0
3.679991328,13.76265259,57.24634851,0,0,0
3.717448979,13.29310811,72.37532027,0,0,0
3.529171058,7.940214211,80.22726481,0,0,0
3.748628921,12.95121308,91.85258761,0,0,0
3.449667853,12.98356187,104.1529371,0,0,0
3.452969345,6.853847255,117.9746885,0,0,0
3.332971478,10.78989611,142.3533367,0,0,0
3.330906759,17.646283,142.9808744,0,0,0
3.923085573,15.97474338,161.7280727,0,0,0
3.260652856,19.34253331,165.8419912,0,0,0
3.224464232,14.73964255,179.7767208,0,0,0
3.912914343,9.58600989,186.1798458,0,0,0
3.445638475,3.509050729,193.3075708,0,0,0
4.017569483,13.31881008,213.9397045,0,0,0
3.116490125,5.747287941,231.081614,0,0,0
4.085966059,12.17109121,236.3655025,0,0,0
3.106467772,9.028820415,237.127027,0,0,0
3.109833724,11.93036126,239.581645,0,0,0
3.129442876,4.313768532,240.6047901,0,0,0
3.101460695,16.31747745,240.7464143,0,0,0
4.152300968,18.61818356,265.8916085,0,0,0
2.980453845,18.4918491,272.7428246,0,0,0
3.844793805,2.00931563,287.2926109,0,0,0
4.148684583,10.50738205,297.3065067,0,0,0
3.030322349,2.611337691,304.3751482,0,0,0
2.977965645,2.513754505,334.1775117,0,0,0
4.13718646,2.922912496,373.1339034,0,0,0
4.357205271,19.99689033,375.156835,0,0,0
4.286754207,4.098236364,390.3119158,0,0,0
4.367491149,15.18483098,409.2328017,0,0,0
4.403944801,14.14473173,411.7137539,0,0,0
2.531561608,3.150948304,412.7815051,0,0,0
4.434537869,16.7904242,419.5766373,0,0,0
2.546574162,13.46363911,423.1403618,0,0,0
2.481691105,8.20211822,427.0481533,0,0,0
2.466384894,10.26619389,441.4047813,0,0,0
4.323724527,8.574539894,446.1771466,0,0,0
2.198454231,15.99527908,514.441705,0,0,0
2.021588902,2.010919398,536.565639,0,0,0
2.065646687,11.28828236,539.899281,0,0,0
4.598917498,11.37507608,549.9739939,0,0,0
2.005343649,7.112360212,550.6971528,0,0,0
2.038452039,9.303383615,554.326463,0,0,0
2.001389975,5.934538158,556.1281925,0,0,0
2.003138611,4.704452362,556.5659768,0,0,0
2.0070272,12.47929129,556.8453352,0,0,0
2.005975815,15.05736117,556.930686,0,0,0
4.397249912,5.365245228,559.8911909,0,0,0
2.000271155,16.93493751,562.2505449,0,0,0
2.002875041,18.28452369,562.7425998,0,0,0
2.003994174,19.9104641,562.8579856,0,0,0
2.000905628,14.14657263,570.0218358,0,0,0
4.813427601,17.79470682,641.0020451,0,0,0
4.872595752,12.95961801,712.7711764,0,0,0
4.725717595,6.649346422,737.5872832,0,0,0
5.042883648,15.97425291,805.4171159,0,0,0
4.75906358,7.65332806,819.1815629,0,0,0
5.011509669,3.24678852,886.5427869,0,0,0
5.238048983,18.94619707,918.8827869,0,0,0
4.988961014,9.970308737,957.1626219,0,0,0
5.273685525,4.328710627,1006.183884,0,0,0
5.995494871,2.357041489,1042.41477,0,0,0
5.032112755,2.056391941,1056.666608,0,0,0
5.500435592,11.57281058,1066.533108,0,0,0
5.984587989,3.444633847,1167.212345,0,0,0
5.50559706,14.08367059,1190.431698,0,0,0
5.999088707,7.052410428,1302.763567,0,0,0
5.98181771,5.166586958,1318.221448,0,0,0
5.973888175,9.113502449,1355.15891,0,0,0
5.558189614,6.084028018,1378.761433,0,0,0
5.503426901,8.436547804,1385.419541,0,0,0
5.995593684,12.39423295,1491.38171,0,0,0
5.967215085,19.99976999,1539.047595,0,0,0
5.995636911,10.73256059,1540.376848,0,0,0
5.967403598,15.33441417,1554.36155,0,0,0
5.984233916,17.9590377,1582.182207,0,0,0
5.933552357,16.66540195,1600.725172,0,0,0
