{'opt_vel': 3.0303223487124717, 'jump_a': 2.611337690626378, 'objective_value': 304.3751481995891, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 5.9335523571012025, 'jump_a': 16.66540195017124, 'objective_value': 1600.7251718145528, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.0384520390320375, 'jump_a': 9.303383615400275, 'objective_value': 554.326463032228, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 5.5055970596864885, 'jump_a': 14.083670586080201, 'objective_value': 1190.4316976055452, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.9779656452843257, 'jump_a': 2.513754504883752, 'objective_value': 334.17751167194433, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.101460695010919, 'jump_a': 16.317477449446883, 'objective_value': 240.746414345493, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 5.503426900578177, 'jump_a': 8.43654780420322, 'objective_value': 1385.4195412121194, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.5465741618319933, 'jump_a': 13.463639112590476, 'objective_value': 423.1403617607666, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.6061387893140298, 'jump_a': 13.345757927015097, 'objective_value': 37.29875407101645, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 4.152300967752602, 'jump_a': 18.618183556039604, 'objective_value': 265.8916084566277, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.260652856375269, 'jump_a': 19.34253330921492, 'objective_value': 165.8419911776193, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 5.973888174699432, 'jump_a': 9.113502449291275, 'objective_value': 1355.1589100332428, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.0656466868421735, 'jump_a': 11.288282362311131, 'objective_value': 539.8992810074319, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.1164901250573487, 'jump_a': 5.747287941051315, 'objective_value': 231.08161398062114, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.74862892079131, 'jump_a': 12.951213075733758, 'objective_value': 91.85258761410007, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 5.032112754621098, 'jump_a': 2.056391940575406, 'objective_value': 1056.666608437415, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.3309067587608423, 'jump_a': 17.646283002773583, 'objective_value': 142.9808743785856, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.5315616083627606, 'jump_a': 3.1509483042589244, 'objective_value': 412.7815050814415, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 4.367491148946815, 'jump_a': 15.184830977739988, 'objective_value': 409.23280174738477, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 5.238048982773483, 'jump_a': 18.94619707271824, 'objective_value': 918.8827869152465, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.6457050659181904, 'jump_a': 13.499257209002174, 'objective_value': 31.954951498181398, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.636204313426486, 'jump_a': 13.475152865608244, 'objective_value': 32.81116832330119, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.686828954951108, 'jump_a': 13.58239639424714, 'objective_value': 50.75389955843077, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 5.981817709889657, 'jump_a': 5.16658695770043, 'objective_value': 1318.2214484463452, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.003994174234307, 'jump_a': 19.91046410099401, 'objective_value': 562.8579856156244, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.6264607136688443, 'jump_a': 13.490499617214565, 'objective_value': 32.26569709176616, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.6238438393234658, 'jump_a': 13.51794044147826, 'objective_value': 31.29324314142217, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.6076766464128345, 'jump_a': 13.534796283439334, 'objective_value': 30.7772742385383, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.71744897866165, 'jump_a': 13.293108106172642, 'objective_value': 72.37532026849865, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 4.59891749777804, 'jump_a': 11.375076082807006, 'objective_value': 549.9739938887957, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.0053436485983034, 'jump_a': 7.112360212306633, 'objective_value': 550.6971528351122, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.449667853167552, 'jump_a': 12.983561868329987, 'objective_value': 104.15293710743003, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.587770568048354, 'jump_a': 13.5520231154739, 'objective_value': 30.169419751871533, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.5562946777481055, 'jump_a': 13.57429037135723, 'objective_value': 57.21825029786204, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 4.286754206962229, 'jump_a': 4.098236363827936, 'objective_value': 390.311915800754, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.912914343188498, 'jump_a': 9.586009890466418, 'objective_value': 186.17984582294545, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 4.725717594573972, 'jump_a': 6.6493464224023136, 'objective_value': 737.5872831643817, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.5291710579365194, 'jump_a': 7.940214211328609, 'objective_value': 80.22726480909695, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 5.995593684090652, 'jump_a': 12.394232947784827, 'objective_value': 1491.3817095287889, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.0059758145951863, 'jump_a': 15.057361174261715, 'objective_value': 556.9306860135204, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 5.984587988973617, 'jump_a': 3.444633847062656, 'objective_value': 1167.2123454809005, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.0031386113925196, 'jump_a': 4.704452362046664, 'objective_value': 556.565976837618, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.0028750411909466, 'jump_a': 18.284523693854815, 'objective_value': 562.7425997787481, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 5.99563691090067, 'jump_a': 10.732560586957174, 'objective_value': 1540.3768477310862, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 4.434537869339836, 'jump_a': 16.790424200406704, 'objective_value': 419.57663725765167, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.332971478452301, 'jump_a': 10.789896111494604, 'objective_value': 142.3533366787811, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 5.999088706723189, 'jump_a': 7.052410428368766, 'objective_value': 1302.7635669168365, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 4.3572052714542036, 'jump_a': 19.99689032848805, 'objective_value': 375.15683499967804, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.0002711549656196, 'jump_a': 16.934937513991912, 'objective_value': 562.2505448550163, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 4.397249912030096, 'jump_a': 5.365245227766995, 'objective_value': 559.8911908647027, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 5.967215085446536, 'jump_a': 19.999769985610662, 'objective_value': 1539.0475947382506, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 5.967403597665967, 'jump_a': 15.334414166669426, 'objective_value': 1554.3615497767348, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.2244642320481103, 'jump_a': 14.739642547724955, 'objective_value': 179.776720785399, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
