{'opt_vel': 3.1647984791071933, 'objective_value': 10638.4144358, 'jump_d': 1.5273816822855513, 'jump_c': -4.769829758346544, 'jump_b': -4.925728512378955, 'jump_a': 3.251441759204644}
{'opt_vel': 3.0942230284425665, 'objective_value': 1317.01997799, 'jump_d': 0.5348063043044753, 'jump_c': 0.7695022401726277, 'jump_b': -3.7968946116691003, 'jump_a': -0.03133631348449306}
{'opt_vel': 4.879624181392298, 'objective_value': 2385.88515251, 'jump_d': 2.5338614310494503, 'jump_c': 4.90405600833431, 'jump_b': -2.470672335771684, 'jump_a': -3.179544340486382}
{'opt_vel': 3.0931641778386574, 'objective_value': 2741.52584165, 'jump_d': 3.2710681153869694, 'jump_c': -1.892755992954295, 'jump_b': 1.6401040205959347, 'jump_a': -0.1986718384808821}
{'opt_vel': 4.835177033781556, 'objective_value': 1915.10907686, 'jump_d': 1.1592435016399885, 'jump_c': -1.1969351254607616, 'jump_b': 0.7273110319665861, 'jump_a': -1.9775342361703063}
{'opt_vel': 5.511957196376095, 'objective_value': 4908.13001134, 'jump_d': 3.186921222276485, 'jump_c': -2.9091569681375242, 'jump_b': -4.78699646086482, 'jump_a': -4.137225795433862}
{'opt_vel': 2.3347171593952276, 'objective_value': 2508.1093722, 'jump_d': 0.06576134419000718, 'jump_c': -1.6630484297262171, 'jump_b': -4.488700089436276, 'jump_a': 1.1397100727404883}
{'opt_vel': 4.553023158145388, 'objective_value': 2052.26450166, 'jump_d': 2.714955619457085, 'jump_c': -1.3960503510329492, 'jump_b': 3.541344925836075, 'jump_a': -3.1187345427330584}
{'opt_vel': 4.7734753535578305, 'objective_value': 1018.40209933, 'jump_d': 3.1147104113874584, 'jump_c': 3.6430620773099456, 'jump_b': -4.404566894167541, 'jump_a': -3.048243952493239}
{'opt_vel': 2.482816679197026, 'objective_value': 7898.67881878, 'jump_d': 0.11133430891510093, 'jump_c': -4.000726447603897, 'jump_b': 1.593784271614136, 'jump_a': -2.1972187475076477}
{'opt_vel': 3.8702609113745843, 'objective_value': 645.958929107, 'jump_d': 2.282559755133432, 'jump_c': 2.117402041594721, 'jump_b': -0.2724135494157114, 'jump_a': -1.8346402673049447}
{'opt_vel': 3.473401225376591, 'objective_value': 3813.96581018, 'jump_d': 1.984280737003144, 'jump_c': -2.5945788115046042, 'jump_b': -4.992980026218271, 'jump_a': 3.483267737238995}
{'opt_vel': 3.7389644856538857, 'objective_value': 516.703122542, 'jump_d': 1.5589661264099435, 'jump_c': 3.3640582645818, 'jump_b': -4.680449123058478, 'jump_a': -0.7153281152547226}
{'opt_vel': 2.202430630444402, 'objective_value': 11139.6875457, 'jump_d': 0.07768086080189335, 'jump_c': -4.771653201166752, 'jump_b': 1.6043186994070702, 'jump_a': -3.672569957571098}
{'opt_vel': 4.758422541696539, 'objective_value': 3655.70559308, 'jump_d': 2.6178447762305805, 'jump_c': -2.3967346555020463, 'jump_b': 1.2713181061379721, 'jump_a': -3.203445055091442}
{'opt_vel': 3.358219905772918, 'objective_value': 10820.276785, 'jump_d': 3.0901466627219967, 'jump_c': -4.844327913273261, 'jump_b': 2.988484761329139, 'jump_a': 2.2600645661286354}
{'opt_vel': 2.1256217251533345, 'objective_value': 4216.04922203, 'jump_d': 2.5046612652870115, 'jump_c': -2.621897680830656, 'jump_b': -1.4153421998695324, 'jump_a': -0.6765487663092902}
{'opt_vel': 4.869979201788318, 'objective_value': 1109.28156759, 'jump_d': 0.08189830541991633, 'jump_c': 2.880835525399972, 'jump_b': 2.34900456475997, 'jump_a': -2.1272749607440833}
{'opt_vel': 4.456931948375625, 'objective_value': 2300.53312928, 'jump_d': 1.888739991436803, 'jump_c': -1.684442549381957, 'jump_b': 1.7032582823701539, 'jump_a': 2.6670917844879414}
{'opt_vel': 4.459520561863373, 'objective_value': 5379.21196128, 'jump_d': 1.7640101599548517, 'jump_c': -3.227595678880907, 'jump_b': -4.793286920576277, 'jump_a': 2.2620482663780708}
{'opt_vel': 4.536911133215218, 'objective_value': 1036.99910726, 'jump_d': 2.963233339390512, 'jump_c': 1.5396583482516233, 'jump_b': -4.9923484502982465, 'jump_a': 4.867554329144852}
{'opt_vel': 5.663339629865031, 'objective_value': 4475.22902244, 'jump_d': 3.412223558963372, 'jump_c': 4.967501875920377, 'jump_b': 4.615499290709494, 'jump_a': 4.885532831469595}
{'opt_vel': 2.046687807834944, 'objective_value': 941.885548432, 'jump_d': 0.1415624377409987, 'jump_c': 4.979432275154835, 'jump_b': -4.482479368314257, 'jump_a': 3.3027282198464363}
{'opt_vel': 2.358552827425364, 'objective_value': 829.513343372, 'jump_d': 3.449005082854896, 'jump_c': 4.9511843028196605, 'jump_b': 4.802510421144618, 'jump_a': -4.248540798289294}
{'opt_vel': 2.009665362605368, 'objective_value': 180.098443464, 'jump_d': 3.1400785722505264, 'jump_c': 3.8737896580047817, 'jump_b': -4.771868262702782, 'jump_a': -0.8488016713458935}
{'opt_vel': 2.1843988407095147, 'objective_value': 198.845963889, 'jump_d': 2.9885546331972175, 'jump_c': 4.046774262583154, 'jump_b': -4.9852756748585145, 'jump_a': 0.12859092431504138}
{'opt_vel': 2.382724333308925, 'objective_value': 131.135412483, 'jump_d': 3.4766323373562917, 'jump_c': 3.989323427785937, 'jump_b': -4.903925313560144, 'jump_a': -0.14650102774125617}
{'opt_vel': 2.3608508397599777, 'objective_value': 145.629909399, 'jump_d': 3.3163722819116903, 'jump_c': 4.026247771959845, 'jump_b': -4.765631667609917, 'jump_a': -0.17459156143167842}
{'opt_vel': 2.774204483201491, 'objective_value': 177.57977455, 'jump_d': 3.493727230794029, 'jump_c': 3.880800733733988, 'jump_b': -4.66097194745346, 'jump_a': -0.12554320663691954}
{'opt_vel': 2.4293781579916995, 'objective_value': 318.817583403, 'jump_d': 3.4900102171767555, 'jump_c': 4.3786364382471294, 'jump_b': -4.953931369197405, 'jump_a': -0.7171553519202156}
{'opt_vel': 2.171708768187342, 'objective_value': 97.935380813, 'jump_d': 3.432915468495623, 'jump_c': 3.33980009938705, 'jump_b': -4.671003554457609, 'jump_a': -0.48396570417916074}
{'opt_vel': 2.091944721685592, 'objective_value': 136.994146353, 'jump_d': 3.447956175191059, 'jump_c': 3.783299121229337, 'jump_b': -3.9872795662448657, 'jump_a': 0.29064250540271086}
{'opt_vel': 2.8363530944622912, 'objective_value': 129.042994042, 'jump_d': 3.1345350855787024, 'jump_c': 3.423924468346243, 'jump_b': -4.960700360100629, 'jump_a': 0.17064740055883654}
{'opt_vel': 2.4130551966391307, 'objective_value': 25.6101226645, 'jump_d': 3.459574806466827, 'jump_c': 3.240025566145672, 'jump_b': -4.780068651124859, 'jump_a': -0.2813875115403741}
{'opt_vel': 2.2661173159918024, 'objective_value': 55.2420497516, 'jump_d': 3.1145467855349294, 'jump_c': 2.741688102017604, 'jump_b': -4.882331629130528, 'jump_a': -0.12628650555528775}
{'opt_vel': 2.054867447274863, 'objective_value': 121.020382524, 'jump_d': 3.2194252855855323, 'jump_c': 3.0768264714771103, 'jump_b': -4.929700505524075, 'jump_a': -0.3516745190699053}
{'opt_vel': 2.722922190137313, 'objective_value': 114.355231727, 'jump_d': 3.4977476803348906, 'jump_c': 2.693376920157071, 'jump_b': -4.8428947434296905, 'jump_a': 0.014277633697759029}
{'opt_vel': 2.5577106071476305, 'objective_value': 46.0764346285, 'jump_d': 2.8754959326061913, 'jump_c': 3.3019903602087606, 'jump_b': -4.753334398582747, 'jump_a': -0.30375576954234873}
{'opt_vel': 2.1623296970234214, 'objective_value': 84.8938382506, 'jump_d': 3.06507418477198, 'jump_c': 3.0487417460834383, 'jump_b': -4.6306723804833325, 'jump_a': -0.06459504650886316}
{'opt_vel': 2.753153911594938, 'objective_value': 125.98695022, 'jump_d': 2.8627006573470677, 'jump_c': 2.7707692202453966, 'jump_b': -4.509569056699688, 'jump_a': -0.5326923013638911}
{'opt_vel': 2.8733973183772377, 'objective_value': 146.219972542, 'jump_d': 2.5928382316235843, 'jump_c': 3.136198604563468, 'jump_b': -4.830392455968281, 'jump_a': -0.3829648733968991}
