opt_vel,jump_a,objective_value,jump_b,jump_c,jump_d
3.824631551,15.36602417,43.47296061,0,0,0
3.790318811,15.36413231,43.52930644,0,0,0
3.848243441,15.35811014,43.70885521,0,0,0
3.755391555,12.16954711,70.34369542,0,0,0
3.784228023,15.37364207,73.34674555,0,0,0
3.72178514,15.35158591,73.91780226,0,0,0
3.779925644,15.35098134,73.93525801,0,0,0
3.752429606,15.34961914,73.97459357,0,0,0
3.85808169,7.9201778,80.95185705,0,0,0
3.838805216,3.045750326,89.93262299,0,0,0
3.696584823,15.54521349,97.97654418,0,0,0
4.003839151,15.29615313,112.8744962,0,0,0
3.627388762,16.78935398,125.0039464,0,0,0
3.804314342,2.078333609,125.2748268,0,0,0
3.602264303,12.84965054,127.5949865,0,0,0
3.613314151,11.34832676,136.931775,0,0,0
4.051950123,10.42219166,149.3689701,0,0,0
3.527775319,17.98858899,156.5302605,0,0,0
4.11909264,15.68452854,162.8300718,0,0,0
3.717140167,5.105929594,165.2348307,0,0,0
3.557101826,6.310096645,171.8864526,0,0,0
4.18467,19.14865611,177.6808515,0,0,0
4.316743597,19.9942085,234.7144216,0,0,0
3.354242663,14.33697175,240.1388982,0,0,0
4.320369071,14.95743948,257.9145114,0,0,0
4.196121881,8.357560968,268.55362,0,0,0
3.224289371,8.879192122,277.278146,0,0,0
4.301956359,13.50711907,283.7559147,0,0,0
4.284731236,9.397416901,284.9058132,0,0,0
3.262726605,19.69899358,285.5003692,0,0,0
4.404646863,17.43546657,295.764481,0,0,0
3.245973604,5.018928047,302.1222217,0,0,0
3.331046717,3.85757077,313.3491607,0,0,0
4.242018076,4.80518189,356.6539433,0,0,0
3.05233104,9.470783676,356.7122002,0,0,0
3.047788812,10.36939184,356.8568847,0,0,0
3.008185965,8.372755992,356.8676013,0,0,0
2.962905667,6.838197143,373.3731856,0,0,0
2.95154784,2.031752,376.8650057,0,0,0
2.96921628,13.57355389,379.6595086,0,0,0
4.542550421,15.94911048,381.8458006,0,0,0
2.893371477,5.417924189,394.5150392,0,0,0
2.905591847,11.83659276,409.2266942,0,0,0
4.490458482,3.846229414,430.0757743,0,0,0
4.370381511,6.996664386,436.5400661,0,0,0
4.554991193,11.33223964,446.5415563,0,0,0
2.671633135,8.946871299,468.2225242,0,0,0
2.695523491,18.95612615,471.2323919,0,0,0
2.690933088,15.96730068,474.8110056,0,0,0
2.668532146,2.889599237,479.9069454,0,0,0
4.439116705,5.816537273,481.6749358,0,0,0
2.67052393,12.73367699,484.3439852,0,0,0
2.559933264,10.64787029,509.7047106,0,0,0
2.55161808,7.507865678,515.2687859,0,0,0
2.432575128,4.608959045,539.9429937,0,0,0
2.413773192,9.420753712,556.4557539,0,0,0
2.398146537,17.04324962,568.1973954,0,0,0
2.266813191,14.91318218,598.6584935,0,0,0
4.580652603,2.362206911,624.0550437,0,0,0
4.714299897,8.866799191,625.1126109,0,0,0
2.093429384,8.398577044,631.3689117,0,0,0
2.013990123,2.030479015,639.1146715,0,0,0
2.014806421,3.662864482,646.9181134,0,0,0
2.007152871,6.19932668,651.1878407,0,0,0
2.075097714,17.77837424,653.4669467,0,0,0
4.763930318,9.66290612,658.1148131,0,0,0
2.025487308,19.99884567,662.1651545,0,0,0
2.006844241,10.36711365,663.8083866,0,0,0
2.002767549,12.00108041,666.4870399,0,0,0
2.013502634,13.47030917,666.908938,0,0,0
4.874433119,12.13436699,684.3846161,0,0,0
5.07602084,5.171431788,726.9846059,0,0,0
5.115159377,18.27893733,728.4337704,0,0,0
5.133606443,19.46303202,766.5798622,0,0,0
5.174202932,15.14212435,802.4044888,0,0,0
5.156973186,7.766141481,850.0218005,0,0,0
5.313761541,6.416784451,864.3324003,0,0,0
5.375072837,9.31489719,907.7429827,0,0,0
5.953809579,2.105876251,918.4514436,0,0,0
5.448132763,10.7647584,954.3547569,0,0,0
5.225753948,13.70696211,966.2143199,0,0,0
5.975553019,2.028153955,969.5971505,0,0,0
5.243506922,10.38211172,1001.130631,0,0,0
5.323832414,2.590397914,1028.798057,0,0,0
5.54350067,14.28507987,1071.346376,0,0,0
5.380574638,12.15653433,1073.394493,0,0,0
5.429981758,17.05079069,1108.814685,0,0,0
5.465803347,13.05875124,1109.686958,0,0,0
5.918022559,3.746927538,1191.01215,0,0,0
5.978738109,5.439488799,1193.127288,0,0,0
5.544171005,4.318563366,1223.088059,0,0,0
5.991216659,7.189637166,1274.704736,0,0,0
5.990549786,8.446352144,1288.207644,0,0,0
5.998464607,9.94951369,1294.957134,0,0,0
5.961214713,12.24391083,1372.670115,0,0,0
5.806605237,13.64891492,1376.008081,0,0,0
5.89309442,15.71764553,1405.480187,0,0,0
5.997636935,18.80320497,1421.332669,0,0,0
5.98064647,19.98826155,1437.716226,0,0,0
5.994240845,17.81919851,1473.414479,0,0,0
