opt_vel,objective_value,jump_d,jump_c,jump_b,jump_a,height
2.83986458,14.76674817,1.451867018,1.400352486,-0.709633263,3.221311156,0.3
2.846227356,14.88254938,1.130429112,1.347681497,-1.2517075,3.132460908,0.3
2.843909795,15.97382167,1.096412581,1.438296968,-1.495073896,3.337499154,0.3
2.852620771,16.53181337,1.182079027,1.394281534,-0.966103438,2.980362124,0.3
2.677153303,16.76967055,3.38627323,0.956626833,-3.30342098,4.337620158,0.3
2.921300373,16.84958669,2.168208551,1.808161553,-0.483006413,3.782631443,0.3
2.951835124,17.06696434,2.737344639,1.772742323,0.246726326,4.300606316,0.3
2.966651773,17.29693406,1.705950116,1.920769642,-0.526703591,4.092355783,0.3
2.964250548,18.15863385,1.949754916,2.085557342,-0.656815978,4.072081753,0.3
2.809594013,19.47669777,1.604994244,1.277955977,-1.153523668,3.079579729,0.3
2.853157475,20.3651401,0.974844803,1.448672744,-1.470545463,3.513041081,0.3
2.731960732,20.71709081,1.852433158,1.092737422,-1.293567648,3.128324548,0.3
2.907675428,20.76336643,2.841426138,1.774195578,-0.588163085,4.515553049,0.3
2.91392124,21.48058603,1.593572466,1.802629125,-0.329737376,3.677122562,0.3
2.950800937,21.80844332,1.871819743,1.839718655,-0.555267152,3.895430126,0.3
2.846709885,21.93205621,2.017564539,1.262276567,-1.206141444,3.229794798,0.3
2.96816534,22.05323415,1.627663939,1.814403139,-0.377448177,3.854168234,0.3
2.912017653,22.55334871,2.346611405,1.557626886,-0.432681263,3.82679523,0.3
2.928320354,23.64033294,1.65772005,1.881947258,-0.486308959,4.021525393,0.3
2.849065729,23.91077574,1.159050767,1.264758867,-0.825761221,3.098724165,0.3
2.879505765,23.9257573,1.448451603,1.551328542,-0.203431362,3.421187416,0.3
2.782992491,24.0925132,1.586960795,1.281580529,-1.011756854,3.114550466,0.3
2.793593651,24.5234795,1.245958772,1.299514217,-0.48445438,3.020020307,0.3
2.939142791,24.75246739,2.517697526,1.996999375,0.344425988,4.548411909,0.3
2.901642777,25.93009561,1.288649092,1.556239297,-1.100917835,3.338520278,0.3
2.849410427,26.2324539,0.823207916,1.590886823,-1.278504856,3.285035391,0.3
2.928244247,26.42102556,2.573137744,1.87103642,-0.245493389,4.647640915,0.3
2.982805114,26.4679291,2.141045988,1.819472796,0.455648507,3.900163691,0.3
2.867699896,27.40119977,1.11810392,1.368221948,-1.358054589,3.26556312,0.3
2.838794848,28.04325104,2.242597752,1.342056279,-1.832426881,3.234531199,0.3
2.893064216,28.05753633,1.738755139,1.706788383,-0.644988122,3.918801886,0.3
2.857857315,28.19342066,1.573216473,1.347356575,-1.438828916,3.037259836,0.3
2.812974123,28.29625989,1.90705397,1.473653632,-1.821776218,3.488551078,0.3
2.838316968,29.09857183,2.041205234,1.155715034,-1.356582054,3.279810828,0.3
2.999251218,29.65683222,2.537826644,1.851840054,-0.067158818,4.10325628,0.3
2.777298896,29.66676149,1.640876353,1.212298545,-1.187003701,3.02949063,0.3
2.874462534,29.75000781,2.155882326,1.311824782,-1.33923641,3.184238103,0.3
2.940447397,30.22015771,2.376469214,1.622501426,-0.598425598,3.892323593,0.3
2.817296413,30.9742538,1.888459059,1.421796437,-1.241827486,3.192272989,0.3
2.918267294,31.19880504,2.399646404,1.83797921,-0.296697684,4.71514202,0.3
2.868501347,31.59138055,2.755949513,1.56748144,-0.482127534,4.221553297,0.3
2.965919485,32.06205432,2.037770207,1.792974595,-0.552916401,3.712094634,0.3
2.932271357,32.21879348,2.093597493,1.656481781,-0.247653115,3.800181996,0.3
2.896148985,32.45308807,2.601417136,2.046816612,0.025099454,4.598548966,0.3
2.955121036,32.45370066,2.252644745,1.573402394,-0.396436307,4.060258413,0.3
2.874740311,32.53442572,1.780935045,1.719899558,-0.67373533,3.97810192,0.3
2.879603277,33.59015909,1.659791785,1.310928161,-1.03112067,2.998869714,0.3
2.781904131,33.67588255,2.098240063,1.360694416,-1.670247737,3.155358717,0.3
2.922622591,34.29244947,2.025662127,2.057844083,1.181704667,4.401000111,0.3
2.812463208,34.5232867,2.189338704,1.469142676,-1.963384126,3.560737563,0.3
2.897948085,34.65628536,1.344832931,1.403010831,-0.014847208,3.259617391,0.3
2.995873816,35.86023865,2.879188499,1.975053312,-0.24529953,4.482953358,0.3
2.885811932,37.10083007,3.025643717,1.948046521,-0.285597763,4.952205308,0.3
3.008174366,37.12146659,2.463367072,1.971483286,0.228486952,4.347923494,0.3
